directorId,name
g.112yfd67k,Joe Pearson
g.112yfpbts,Ali Benjelloun
g.112yg66ms,Marco Mattolini
g.112yg8hjj,Diana Naecke
g.112ygcc01,Theodora Remundová
g.112ygczst,Hans H. König
g.113qb9gcx,Mathias Poledna
g.113qbb2ck,Ettore Buchi
g.113qbq6n6,Jens Becker
g.113qbtz3_,Nasser Mehdipoor
g.113tzbvc4,Pasquale Misuraca
g.119pf_dmj,Andras Solyom
g.119pflycz,Ji-u Hong
g.119pg3fjm,Pasquale Marino
g.119pgptg8,Irina Poplavskaya
g.11b5m18cr9,Joana Nin
g.11b5m1xljn,Yael Reuveny
g.11b5qdh509,Jens Huckeriede
g.11b5v1g_wp,Hiroshi Nishio
g.11b5v2q_vl,Marc Bauder
g.11b5v35133,Halder Gomes
g.11b60r3k3n,Nicolaj Pennestri
g.11b60s1ylg,Cornelia Grünberg
g.11b60sjzvy,Seiichi Fukuda
g.11b60srh29,Roland Steiner
g.11b60thryz,Iura Luncasu
g.11b60wv2lj,Dietmar Buchmann
g.11b60wv2xv,Julius Matula
g.11b60wzc7t,Michihito Fujii
g.11b60xsczb,Martin Dostál
g.11b62rvn_w,Véronique Reymond
g.11b62yv7_n,José Luis Urquieta
g.11b66k197n,Yuya Yamaguchi
g.11b6_6szhw,Michael Larnell
g.11b6_7r_25,Ilker Çatak
g.11b6_8jh0j,Christian Moris Müller
g.11b69tkpmh,Jin Mo-young
g.11b6b2q8gp,Frederico Prosperi
g.11b6b421cg,Vasili Zhuravlyov
g.11b6b65nft,Askold Kurov
g.11b6_b98jp,Antonello Belluco
g.11b6bb7lcw,Kurt Früh
g.11b6bh_vth,Carolina Moraes-Liu
g.11b6bppbyq,Silvestro Prestifilippo
g.11b6bwvp86,Vladimír Kavciak
g.11b6_bxjmy,Asako Kageyama
g.11b6c90stv,Vladimir Fatyanov
g.11b6c9q183,Frederik Steiner
g.11b6cc6ftz,Václav Křístek
g.11b6dfdw0p,Naoki Katô
g.11b6dn6blh,Hans-Georg Ullrich
g.11b6dw3gk3,Heinz Brinkmann
g.11b6dw3gmk,Sibylle Schönemann
g.11b6dw3x_r,Martin Dušek
g.11b6f09ytg,Ichiro Kita
g.11b6fkg87p,Vsevolod Benigsen
g.11b6gcf9nx,Verena Jahnke
g.11b6ggsvmq,Eiji Uchida
g.11b6gjm6l4,Koshiro Otsu
g.11b6gp1cys,Jang Yong-Woo
g.11b6gqjr51,Steve Vallo
g.11b6gqsfpx,Jonas Govaerts
g.11b6gqvh8b,Andreas Schäfer
g.11b6gsq410,Conor Holt
g.11b6j8xlqm,Jin Woo
g.11b6m5bqjw,Renaud Victor
g.11b6m615sj,Tony D'Angelo
g.11b6_mh4wn,Garth Evans
g.11b6nmvbqp,Akihiro Toda
g.11b6_p5lk6,Jake Helgren
g.11b6phnl23,Shinya Nishimura
g.11b6_r_7r0,André van der Hout
g.11b6rzctk7,Reni Mertens
g.11b6szjzn_,Gaigals Laimons
g.11b6t_48yh,Marianne Rosenbaum
g.11b6_t8gr_,Per-Olav Sørensen
g.11b6tt_r70,Paul J. Lane
g.11b6v6xhqq,Stephan Mayer
g.11b6vfh1rz,Georges Grammat
g.11b6vjj1rv,Rouhollah Hejazi
g.11b6vms6cz,Hermann Lanske
g.11b6_vxps7,Estela Bravo
g.11b6vz8dpr,Anka Schmid
g.11b6x2g13n,Naoyoshi Shiotani
g.11b6x2xh91,Antonio Racioppi
g.11b6x9zcw8,Tomek Ducki
g.11b6xdyz9z,Michal Marczak
g.11b6xdyzbq,Aram Gülyüz
g.11b6y0jf9s,Byeong-Kuk Hwang
g.11b6y14v_y,Park Heung-shik
g.11b6y6j4rq,Ario Rubbik
g.11b6yd6fv_,Andreas Senn
g.11b6ylyym4,John Huddles
g.11b6ywqgrl,Bunji Sotoyama
g.11b6zntyf8,Bernard Favre
g.11b6zsbwty,Magne Pettersen
g.11b6zzvcjm,Li-Xiu Xiao
g.11b7232489,Alper Mestçi
g.11b725m1sy,Jeoshua Gil Delgado
g.11b72vhtlv,Joao Nuno Brochado
g.11b72vprsj,Mark Michel
g.11b73_j3gz,Kang Gi-Yeong
g.11b73wcllc,Silvina Landsmann
g.11b73yyjsk,Jayro Bustamante
g.11b73z_lsg,Hiroshi Kawamata
g.11b74255sf,Thomas Stuber
g.11b747mlbf,Manuel Sanchez
g.11b74qk7zn,Satoshi Kase
g.11b74tvkyy,Rodrigo Sepulveda
g.11b74tx_xt,Gaetano Di Vaio
g.11b75mhc8v,Antoine Boutet
g.11b75pvk81,Stéphane Levallois
g.11b769r0fb,Václav Gajer
g.11b76b25c0,Bourlem Guerdjou
g.11b76f5frn,Julien Petit
g.11b76gb70p,Jayaraaj Vijay
g.11b76gl12_,Aditya Gumay
g.11b76j5q20,Jalal Fatemi
g.11b76lp31v,Jana Sevcíková
g.11b76ltm0g,Yasuo Matsukawa
g.11b76vlxk6,Jean-Marc Minéo
g.11b77b4gwz,Kensaku Kakimoto
g.11b77q9fmy,Aneta Kopacz
g.11b77vmjcx,Sandra Schiessl
g.11b7ch0rxm,Andrey Silvestrov
g.11b7f0gjqr,Manon de Boer
g.11b7f3dlhp,Luciano Juncos
g.11b7g1wy7b,Yoshiho Fukuoka
g.11b7gsqd2w,Tomasz Wasilewski
g.11b7_j1vgw,Annie Amirjanian
g.11b7j3r0dw,Domiziano Cristopharo
g.11b7jryrkc,Biruta Veldre
g.11b7_jw2sf,Liang Xuan
g.11b7kdt2zg,William Fairchild
g.11b7kfzz13,Maya Merkel
g.11b7khhsn3,Ype Nakashima
g.11b7kjhbw_,Simon Jaquemet
g.11b7kjyljz,Claudia Buthenhoff-Duffy
g.11b7kld_dz,Ugo Bienvenu
g.11b7l24q1r,Indra Yudhistira
g.11b7l3tr7n,M.A. Littler
g.11b7lnqn4v,Klaus Telscher
g.11b7lq3rbn,Nadav  Lapid
g.11b7_mvjkj,Shola Thompson
g.11b7nr24_s,Fabian Möhrke
g.11b7nrhcn6,Franco Lolli
g.11b7nwjrxk,Pierre Erwan Guillaume
g.11b7nw_wvm,Sebastian Vigg
g.11b7nyk3l6,Martin Bezouska
g.11b7qrhmh6,Adrian Kwan
g.11b7v0y1sl,Yogesh Ghimire
g.11b7v6x6pb,Ha Lei
g.11b7vh_756,Zheng Chengfeng
g.11b7xhk9m7,Vinod Vijayyan
g.11b822k35_,Kyle Wilamowski
g.11b8230rty,Joseph Thaliath Jr
g.11b8232nbg,Shoshana Palatnik
g.11b823slh4,Debarati Gupta
g.11b824hy5t,Rajeev Chaudhari
g.11b824j5sp,Kumar Bhatia
g.11b824jlgv,Daniel Vockins
g.11b88d_pgq,Asad Ul Haq
g.11b88g_mnl,Surendra Gupta
g.11b88scyhw,Jacques Doniol Valcroze
g.11b8c2tkwc,Erwin Jones
g.11b8c3n1x1,Sanjay Londhe
g.11b8c4bpby,Nick Kozakis
g.11b8c58cdx,Wajed Ali
g.11b8cdy1cf,Kedar Prabhakar Gaekwad
g.11bbmzzp4b,Viacheslav Nikiforov
g.11bbqwc044,Tsuneo Kobayashi
g.11bbqxbsmn,Takusho Tsunemoto
g.11bbswh4_z,Pavel Hobl
g.11bbsypjpl,Fernanda Chicolet
g.11bbxkc731,Petros Lykas
g.11bbxlsjk5,Masanori Kakei
g.11bbxngt3q,George Lutfi Al Khaouri
g.11bbxngtw7,Aleksei Vakhrushev
g.11bc13cl9b,Salomé Aguilera Skvirsky
g.11bc13cl9j,Salvatore Finocchiaro
g.11bc13cl9_,Jean-Paul Arends
g.11bc13clbj,Harris Mendheim
g.11bc13clbq,Lee Fa
g.11bc13clhn,Amshan Kumar
g.11bc13clln,Charles Cusden
g.11bc13clps,Wang Genfa
g.11bc13clvw,Jaya Rajanderan
g.11bc13gyf8,Liang Hansen
g.11bc13gyfh,Hitoshi Hoshino
g.11bc13gyhp,Asif Iqbal Hussain
g.11bc13gyv2,Carlos Marcos Stevani
g.11bc13gz2w,Evan Tramel
g.11bc13rqbd,Chandan Chowdhury
g.11bc13rqbh,Yin Bo
g.11bc13rqc2,Seiichirō Yamaguchi
g.11bc13rqf4,Leonard Doogood
g.11bc13rqg2,Malekha Soe Htike Aung
g.11bc13rqq7,Ajay Nuthakki
g.11bc13rqwf,Rakesh Reddy
g.11bc13rqxs,Lucio Berto
g.11bc13vmdv,Laizhi Zheng
g.11bc13vmf2,Tonmoy Tansen
g.11bc13vmlg,Chow Chun Wing
g.11bc13vmsq,Dennis Sisterson
g.11bc13vmsx,Stephen Calamari
g.11bc13vmx9,Ursula Dabrowsky
g.11bc140qdj,Ranjith Bajpe
g.11bc140qxj,Patrick Crawley
g.11bc140qxn,Venu Sriram
g.11bc140qyc,Aatmaram Dharne
g.11bc143_7s,Mohamed Shukri Jameel
g.11bc143_ds,Teju Prasad
g.11bc143_g1,Scott Kragelund
g.11bc143_gx,Paul Kallungal
g.11bc143_jk,Subha Selvam
g.11bc143_q8,James Camali
g.11bc143_sh,Zhang Zhenhui
g.11bc143_x7,Dick Hoole
g.11bc14_724,Raj Ganesh
g.11bc1473k1,Khalid Mahmud Mithu
g.11bc1473vb,Kavin Bala
g.11bc1473xb,Jyri Kähönen
g.11bc147427,Tony Wellington
g.11bc14747k,Corey Burres
g.11bc14_75f,Robert Yao Ramesar
g.11bc14_79m,Peter Sved
g.11bc14_7jf,Paulo Fontenelle
g.11bc149nzv,Nabendusundar
g.11bc149p2h,Matthew Piacentini
g.11bc149p4r,Yann Gozlan
g.11bc149p7k,Shinpei Miyashita
g.11bc149p7l,Lee Fa
g.11bc14crms,Lenny Magill
g.11bc14cr_q,Nitin Nandan
g.11bc14crxj,Yesh Chauhaan
g.11bc14cry0,Bob Embregts
g.11bc14cs0t,Sudipto Chattopadhyaya
g.11bc14cs0_,Yūichi Fukuda
g.11bc14cs1h,Charles Byers Coates
g.11bc14cs4d,Steve Dayton
g.11bc14f40j,Danielle Karalus
g.11bc14f48n,Victor Bindley
g.11bc14f48t,Betrand Lee
g.11bc14f4g1,Amjal Hossain
g.11bc14f4gs,Giasuddin Selim
g.11bc14f4kv,Alberto Rondalli
g.11bc14hdvr,John Amritraj
g.11bc14hdxf,Dhaval Patel
g.11bc14hdyv,Chris Lukeman
g.11bc14hf1p,Fabrice Florin
g.11bc14hf3c,Srinivas Anjanappa
g.11bc14hf3l,Umair Fazli
g.11bc14hfbm,Geoffrey Pollock
g.11bc14hfc5,Gonzague Pichelin
g.11bc14r4qg,Vince Benedetti
g.11bc14r4tm,Christina Morales Hemenway
g.11bc14t0cc,David Sloma
g.11bc14t0gz,Rene Nagy Jnr
g.11bc14t0n7,Karmachandran
g.11bc14t0tg,Suzanne Babin
g.11bc14t0tx,Paul Howard Allen
g.11bc14vh2x,Mohiuddin Ahmad
g.11bc14vh52,Kaysar Kayrgali
g.11bc14vhd0,Munin Barua
g.11bc14vhd7,Vineet Khetrepal
g.11bc14vhf7,Gregory Wild
g.11bc14vhgm,Kamran Akbar Khan
g.11bc14vhph,Miklos Philips
g.11bc14ynxs,Müfit Can Saçıntı
g.11bc14ynzp,Terje Carlsson
g.11bc14yp2z,Paul Finelli
g.11bc150wyb,Katina Dunn
g.11bc150x2h,Marisa Stotter
g.11bc150x4t,Eric Esser
g.11bc150x57,Richard Sarell
g.11bc150x8b,Ilankannan
g.11bc150xbz,Bidoo Shukla
g.11bc152238,Arthur Cornwell
g.11bc15227q,Hank Lena
g.11bc15229t,Mariana Brennand Fortes
g.11bc1522c4,Roberto Burchielli
g.11bc1522pd,Luis Morillo
g.11bc153skg,Nick Poyntz
g.11bc153spj,Yu Junhao
g.11bc153sqz,Munna Ahmed
g.11bc153srp,Dena Schumacher
g.11bc153t1k,Bernadette Atuahene
g.11bc153t7g,Bill Semans
g.11bc153t8v,Branden Chambers
g.11bc158gsp,Kant Leung Wang Fat
g.11bc158gw8,Pradeep Mani
g.11bc158h32,Roger Gillioz
g.11bc15bcwh,Benjamin Rassat
g.11bc15cynh,Arnold Fuentes
g.11bc15cyqm,Nozomu Amamiya
g.11bc15cyt0,Viswaprasad
g.11bc15f2r8,Stephen Suettinger
g.11bc15f2tl,Jason Caminiti
g.11bc15f2wt,Juan José Segura
g.11bc15f2x3,Subhash Sonik
g.11bc15f2z0,Dick Wadd
g.11bc15f352,Shyam Rahlan
g.11bc15f38s,Rowan Ian Pacey
g.11bc15f39d,Fred Carneano
g.11bc15k02l,Jason Schumacher
g.11bc15k03q,Luis Antonio Pereira
g.11bc15k0bv,Managing Director:
g.11bc15k0gc,Fred Sittenham
g.11bc15l7b0,Robert Emett Tansey
g.11bc15l7cm,Yovanny Moraga Paredes
g.11bc15l7hp,Tamakichi Anaru
g.11bc15l7vk,Ricardo Gascon
g.11bc15l7w1,Ali Kemal Güven
g.11bc15l7w9,Clark Kline
g.11bc15n8rl,James Sullos
g.11bc15n90n,Harry Sparks
g.11bc15n957,Rev Suvi
g.11bc15px8w,Dewan Nazrul
g.11bc15pxgq,Teiichi Takiguchi
g.11bc15pxm7,Simon Kuruvila
g.11bc15pxp7,Joseph Le Brandt
g.11bc15r1mz,Yasufumi Tanaka
g.11bc15r1z8,Akira Katō
g.11bc15r210,Jean Jabely
g.11bc15r288,Michael Perlin
g.11bc15t0g9,Devron Pinder
g.11bc15t0g_,Gyanendra Deuja
g.11bc15t0k_,Zac Heath
g.11bc15t0nj,Paul Cranefield
g.11bc15t0pk,Brooke Burgess
g.11bc15t0ts,Rika Ohara
g.11bc15x6_p,Samia Zaman
g.11bc15x70w,Deland Nurse
g.11bc15x725,Liu Kexin
g.11bc15x7bd,Jayanath Gunawardhana
g.11bc15_x7d,Pedro Luis Ramírez
g.11bc15_xhx,Hannah Roodman
g.11bc15_xkl,Gao Tianhong
g.11bc15z5mt,Alexander Kviria
g.11bc15z5pb,Deborah Novak
g.11bc15z5qf,Julien Rocca-Darcin
g.11bc15z5rs,Satheesh Manarkat
g.11bc15z5tl,Rajkannan
g.11bc15z681,Connie Raskinki
g.11bc165l37,Indra Sira
g.11bc165l3b,Graham Thorburn
g.11bc165l64,Haidar Choudhary
g.11bc165lbc,Boen Kim Nam
g.11bc165lbk,Shahadat Khan
g.11bc165lcj,Matt Keay
g.11bc165llf,Ricardo Pellizzeri
g.11bc168pg9,Shamboo Falke
g.11bc168phj,Santhosh Viswanath
g.11bc168phs,Ernest Riera
g.11bc168pjv,Julian Dominic Gibbs
g.11bc168pk8,Paul Medico
g.11bc168pn4,Peque Gallada
g.11bc16b9_0,Mukta Srinivasan
g.11bc16bb45,Lino Lionello Ghirardini
g.11bc16bb50,Moithu Padiyath
g.11bc16bb9j,Yuen Chun Man
g.11bc16bbcp,Mark Nalley
g.11bc16bbdw,Kote Takaishvili
g.11bc16j1kg,Ricardo Nauenberg
g.11bc16j1qb,Kōichi Takano
g.11bc16j1qj,Barry Karnowski
g.11bc16j1xc,Damien Curtis
g.11bc16kw5p,Anthony Muto
g.11bc16kw67,Rosalia Zelma
g.11bc16kwbw,Nagamaneci
g.11bc16kwrk,Pushpendra Misra
g.11bc16kww3,Moreen Amjad
g.11bc16p_g3,Saisparsh
g.11bc16p_nm,Dave Rogant
g.11bc16rnwn,Armand Lionello
g.11bc16rnx4,Satheesh Kandanchira
g.11bc16rnyp,Lakshmikant Chenna
g.11bc16rp84,Akira Fukuhara
g.11bc16rp8w,Raymond Schillinger
g.11bc16t8_j,Jared Lapidus
g.11bc16t95v,Rob Pilichowski
g.11bc16t9dh,Simon Cathcart
g.11bc16t9dn,Bali Srirangham
g.11bc16t9k9,Patricio Kaulen
g.11bc16zps9,Kyle Day
g.11bc16zp_w,Thomas Marinato
g.11bc16zq17,Stefan Rydehed
g.11bc16zq2t,Abakar Chene Massar
g.11bc16zq66,Hikaru Gotō
g.11bc179p3x,Ruy Costa
g.11bc179p84,Bakhodir Yuldashev
g.11bc179p8g,Shah Muhammad Songhram
g.11bc179pcc,Kirk Murray
g.11bc179pdz,Bill Marin
g.11bc179pkg,Odorico Mendes
g.11bc17f6nq,Jean-Francois Méan
g.11bc17f6xy,Erik Van Sant
g.11bc17f716,Sean Bardin
g.11bc17f778,Russell Maynor
g.11bc17f77w,Bodiul Alam Kokun
g.11bc17f77x,Ravee Farooq
g.11bc17f787,Yuen Jun-Man
g.11bc17f793,Abrar Qazi
g.11bc17kjdl,Erhan Cerrahoğlu
g.11bc17kjhl,Jon Spira
g.11bc17kjjn,Georgios Papaioannou
g.11bc17kjl_,Shankhadeep
g.11bc17kjm4,Di Nettlefold
g.11bc17kjms,Barbara Hager
g.11bc17zs9l,Samuel Turcotte
g.11bc17zsbn,Alberto Ribeiro
g.11bc17zsn4,Soilyo Baruah
g.11bc17zsqc,'Yaar' Kannan
g.11bc17zssg,Vinu Anand
g.11bc18jjl4,Praveen Sri
g.11bc18jjm7,Abdallah Sfeir
g.11bc18jjr_,Krishnathej
g.11bc18jjry,Chris Roache
g.11bc18jjxg,Hsiao Mu
g.11bc18jjz8,Campbell Logan
g.11bc18lgqv,Swagato Chowdhury
g.11bc18lgx5,Kunihiko Matsuoka
g.11bc1f8dd1,Arpan Thapa
g.11bc1f8dd9,Zac Reeder
g.11bc1f8dfc,Triprayar Sukumaran
g.11bc1f8djr,Gyan Kumar
g.11bc1f8dld,Santhosh Shetty Kateel
g.11bc1f8dmj,Jose Nattayam
g.11bc1f8d_n,Valery Ovchinnikov
g.11bc1f8drt,Leon Boedels
g.11bc1f8drv,Ly Kim Srun
g.11bc1f8ds6,Charles Byers Coates
g.11bc1f8dtr,Xavi Tello
g.11bc1f99_t,Ramaier
g.11bc1f9b1q,Kazue Nakamura
g.11bc1f9b5b,David Robert Deranian
g.11bc1f9b5s,Kumar Monojit
g.11bc1f9bbj,Daniel Parkes
g.11bc1fb85t,Ellen Frick
g.11bc1fb86l,Kial Natale
g.11bc1fb8k9,Rich Hanley
g.11bc1fb8nr,Michel Carson
g.11bc1fb8t8,Adam Dasan
g.11bc1fk3lk,Jose Montesinos
g.11bc1fk3vc,Behzad Mansoori-Dara
g.11bc1fkjz9,Yukitsugu Tsuchiya
g.11bc1fkvz3,Tonguç Yaşar
g.11bc1fkw47,Gong Bingsi
g.11bc1fkw5l,Hiroyoshi Sejima
g.11bc1fkwfs,Dick Shortland
g.11bc1fl40_,Sailendra Parida
g.11bc1gg899,Adriano Zancanella
g.11bc1gg8c4,Gil Kenston
g.11bc1gg8f2,Toki Yoshimasa
g.11bc1gg8fw,Sribalaji
g.11bc1gg8n5,Bhuvanaraja
g.11bc1gg8pr,Sunar Dewi Murni
g.11bc1gg8y3,Eric Belhassen
g.11bc1gg9bl,Muthuramalincoln
g.11bc1gg9f5,Ajmal Zaheer Ahmed
g.11bc1gg9m8,Denis Kavanagh
g.11bc1gg9qd,Altaf Hussein
g.11bc1gg9qk,Sharavana Subbaiya
g.11bc1gg9_r,Graham Thorburn
g.11bc1gg9tn,Marijan Vajda
g.11bc1gg9vh,Siva Sanmukan
g.11bc1gg9x2,Sakkun
g.11bc1ggb0q,Doan Nguyen
g.11bc1ggbc2,Victric Thng
g.11bc1ggbgc,Jayant Prabhakar
g.11bc1ggbl_,Dan Rickmers
g.11bc1ggbwx,Bert Deveaux
g.11bc1ggbzv,Ugo Giorgetti
g.11bc1ggc1f,Sachio Kitazawa
g.11bc1ggc2m,Devidas Chelanat
g.11bc1ggc3s,Nobuaki Shirai
g.11bc1ggc6y,Prasad Vaalacheril
g.11bc1ggcmm,Syed Omar
g.11bc1ggctw,Ingo Trendelbernd
g.11bc1ggcx3,Sarita Siegel
g.11bc1ggd25,Miro Branković
g.11bc1ggdky,Saketh Sreemohan
g.11bc1ggfh4,Shadaab Mirza
g.11bc1ggfhb,Armando Zorri
g.11bc1ggfhp,San Kong
g.11bc1ggfxq,Jez Blackmore Richard Hulse
g.11bc51n_jb,Thamizharasan Thiyagarajan
g.11bc5_g8g6,Devendra Mukherjee
g.11bc5z43ms,Nanjundappa
g.11bc5zf3qy,Yōjirō Arai
g.11bc6yw1qb,Abhay Kambli
g.11bc6ywj0v,Milind Kawre
g.11bc6yxqm3,Vijayachandran
g.11bc6z09p5,Olivier Higgins
g.11bc6z391d,Mrunnalini Patil
g.11bc6z8y6p,Ranjith Bajpe
g.11bc74_k98,Ota Richter
g.11bc77z0f9,Kartik Mehta
g.11bc77z0fd,Adele Schmidt José Zegarra Holder
